,production_companies
48,"                        name    id
0            New Line Cinema    12
1              Original Film   333
2         Legendary Pictures   923
3               Warner Bros.  6194
4           Big Kid Pictures  8406
5  Bad Hat Harry Productions  9168"
49,"                        name     id
0  Village Roadshow Pictures     79
1              Bazmark Films    240
2               Warner Bros.   6194
3    A&E Television Networks  11858
4    Red Wagon Entertainment  14440
5             Spectrum Films  14604"
50,"                      name   id
0     Walt Disney Pictures    2
1  Jerry Bruckheimer Films  130"
51,"                           name     id
0            Legendary Pictures    923
1                  Warner Bros.   6194
2  Disney Double Dare You (DDY)  19750
3         Indochina Productions  19751"
52,"                      name     id
0       Paramount Pictures      4
1  Di Bonaventura Pictures    435
2    Indochina Productions  19751
3           Hasbro Studios  22826"
53,"                 name  id
0           Lucasfilm   1
1  Paramount Pictures   4"
54,"                      name  id
0     Walt Disney Pictures   2
1  Pixar Animation Studios   3"
55,"                      name  id
0     Walt Disney Pictures   2
1  Pixar Animation Studios   3"
56,"                          name     id
0           Paramount Pictures      4
1                    Bad Robot  11461
2  Perfect Storm Entertainment  34530
3       Alibaba Pictures Group  69484
4               Skydance Media  82819
5                 Sneaky Shark  83644
6                 Huahua Media  83645"
57,"                      name     id
0     Walt Disney Pictures      2
1  Pixar Animation Studios      3
2        FortyFour Studios  93408"
58,"              name  id
0  New Line Cinema  12"
59,"                        name     id
0          Columbia Pictures      5
1  Centropolis Entertainment    347
2    The Mark Gordon Company   1557
3       Farewell Productions  10905"
60,"          name     id
0  Walt Disney   5888
1  ImageMovers  11395"
61,"                        name    id
0  Village Roadshow Pictures    79
1         Dune Entertainment   444
2       Anarchos Productions   450
3               Warner Bros.  6194"
62,"                                   name     id
0             Village Roadshow Pictures     79
1              Dark Horse Entertainment    552
2           Jerry Weintraub Productions   2596
3             RatPac-Dune Entertainment  41624
4                      Beagle Pug Films  46339
5                     Riche Productions  86565
6  Village Roadshow Films North America  86566"
63,"           name     id
0   Walt Disney   5888
1  Walden Media  10221"
64,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                        Donners' Company    431
2                    Marvel Entertainment   7505
3               Bad Hat Harry Productions   9168
4                       TSG Entertainment  22213
5                           Kinberg Genre  78091"
65,"                 name    id
0           DC Comics   429
1  Legendary Pictures   923
2        Warner Bros.  6194
3    DC Entertainment  9993
4             Syncopy  9996"
66,"                      name  id
0  Pixar Animation Studios   3"
67,"                   name   id
0  DreamWorks Animation  521"
68,"             name   id
0  Marvel Studios  420"
69,"                 name    id
0  Paramount Pictures     4
1     Infinitum Nihil  2691
2            GK Films  3281"
70,"                                           name     id
0          Todman, Simon, LeMasters Productions   2507
1                                  Warner Bros.   6194
2                          Peters Entertainment  16774
3  Sonnenfeld Josephson Worldwide Entertainment  57088"
71,"                                   name     id
0                    Universal Pictures     33
1  China Film Co-Production Corporation   2269
2                      Relativity Media   7295
3                      Alphaville Films  11462
4                  Sommers Company, The  19643"
72,"                  name    id
0            DC Comics   429
1   Dune Entertainment   444
2  Atlas Entertainment   507
3         Warner Bros.  6194
4     DC Entertainment  9993"
73,"                        name    id
0          Columbia Pictures     5
1         Universal Pictures    33
2     Spyglass Entertainment   158
3  Shady Acres Entertainment   159
4              Original Film   333
5                   Playtone  4171
6           Relativity Media  7295"
74,"                                                name     id
0                          Village Roadshow Pictures     79
1                                       Warner Bros.   6194
2                                          Viz Media   6687
3  Province of British Columbia Production Servic...  12200
4                               3 Arts Entertainment  36390
5                          RatPac-Dune Entertainment  41624"
75,"                             name    id
0              Universal Pictures    33
1                  Gordon Company  1073
2             Davis Entertainment  1302
3  Licht/Mueller Film Corporation  6092"
76,"                      name     id
0       Paramount Pictures      4
1   Spyglass Entertainment    158
2  Di Bonaventura Pictures    435
3                   Hasbro   2598
4    Kontsept Film Company  76067"
77,"                      name  id
0     Walt Disney Pictures   2
1  Pixar Animation Studios   3"
78,"                                  name     id
0                 Walt Disney Pictures      2
1  Walt Disney Studios Motion Pictures   3036
2               Fairview Entertainment   7297
3         Moving Picture Company (MPC)  20478"
79,"             name   id
0  Marvel Studios  420"
80,"                 name     id
0  Universal Pictures     33
1          Roth Films  16314"
81,"                                  name     id
0                 Walt Disney Pictures      2
1  Walt Disney Studios Motion Pictures   3036
2                           Roth Films  16314"
82,"                    name     id
0        Ingenious Media    290
1  Chernin Entertainment   7076
2      TSG Entertainment  22213"
83,"                                          name     id
0                                       Corsan   7299
1                                  Bliss Media   8186
2  Limelight International Media Entertainment   8187
3                      Neelmudra Entertainment   8188
4                                Aristos Films  76098
5                      Singularity Productions  76099
6                                     Wildkite  76100"
84,"                           name     id
0            Mid Atlantic Films   2735
1            Stuber Productions   4403
2                     Universal   6292
3  Moving Picture Company (MPC)  20478
4             H2F Entertainment  20851"
85,"             name   id
0  Marvel Studios  420"
86,"                   name   id
0  DreamWorks Animation  521"
87,"                   name     id
0  Walt Disney Pictures      2
1               Babieka  20656
2                  A113  59778"
88,"                            name    id
0           Walt Disney Pictures     2
1  Walt Disney Animation Studios  6125"
89,"                            name    id
0  Walt Disney Animation Studios  6125"
90,"          name     id
0  Golden Mean   1867
1     Playtone   4171
2  ImageMovers  11395"
91,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1               Centropolis Entertainment    347
2                       TSG Entertainment  22213
3                                Stereo D  86561"
92,"                       name     id
0      DreamWorks Animation    521
1     Vertigo Entertainment    829
2  Mad Hatter Entertainment  20154"
93,"                                                name     id
0                                  Columbia Pictures      5
1                                   Intermedia Films    763
2                                       Warner Bros.   6194
3                                       C-2 Pictures   7340
4  IMF Internationale Medien und Film GmbH & Co. ...  19116
5                       Mostow/Lieberman Productions  23636"
94,"                           name     id
0                Marvel Studios    420
1  Moving Picture Company (MPC)  20478
2             Bulletproof Cupid  54850
3        Revolution Sun Studios  76043"
95,"                     name     id
0      Paramount Pictures      4
1      Legendary Pictures    923
2            Warner Bros.   6194
3                 Syncopy   9996
4  Lynda Obst Productions  13769"
96,"                 name    id
0  Legendary Pictures   923
1        Warner Bros.  6194
2             Syncopy  9996"
97,"            name     id
0     Cine Bazar   5896
1  Toho Pictures  49301"
98,"                        name    id
0              WingNut Films    11
1            New Line Cinema    12
2      Warner Bros. Pictures   174
3  Metro-Goldwyn-Mayer (MGM)  8411"
99,"                                         name     id
0                          Universal Pictures     33
1                               Original Film    333
2                      Ardustry Entertainment  26281
3  Mediastream Film GmbH & Co. Productions KG  26282"
100,"                            name    id
0             Paramount Pictures     4
1                   Warner Bros.  6194
2  Kennedy/Marshall Company, The  7383"
101,"                                     name     id
0                 Ingenious Film Partners    289
1                         Ingenious Media    290
2  Twentieth Century Fox Film Corporation    306
3                        Donners' Company    431
4                      Dune Entertainment    444
5                  Dune Entertainment III   6332
6                    Marvel Entertainment   7505
7               Bad Hat Harry Productions   9168
8                  Big Screen Productions  10893"
102,"                name    id
0  Studio Babelsberg   264
1          Lionsgate  1632
2        Color Force  5420"
103,"                      name     id
0     Walt Disney Pictures      2
1  Jerry Bruckheimer Films    130
2             Saturn Films    831
3  Broken Road Productions   8000
4   Junction Entertainment  19097"
104,"                      name     id
0          Virtual Studios    449
1       Next Entertainment   1633
2             Warner Bros.   6194
3  Irwin Allen Productions  14024
4      Radiant Productions  18990
5  Synthesis Entertainment  19943"
105,"                     name     id
0    Walt Disney Pictures      2
1               Team Todd    598
2  Tim Burton Productions   8601
3              Roth Films  16314
4                Legend3D  37455"
106,"                   name   id
0        DreamWorks SKG   27
1  DreamWorks Animation  521"
107,"                     name     id
0      Universal Pictures     33
1     Atlas Entertainment    507
2      Legendary Pictures    923
3  Blizzard Entertainment  16028"
108,"                 name     id
0  Paramount Pictures      4
1  Annapurna Pictures  13184
2      Skydance Media  82819"
109,"                 name     id
0  Dune Entertainment    444
1   Fox 2000 Pictures    711
2        Walden Media  10221"
110,"                      name    id
0  Jerry Bruckheimer Films   130
1      Touchstone Pictures  9195"
111,"                      name     id
0       Paramount Pictures      4
1           DreamWorks SKG     27
2     Amblin Entertainment     56
3  Di Bonaventura Pictures    435
4           Platinum Dunes   2481
5                thinkfilm  12247
6            SprocketHeads  20011
7           Hasbro Studios  22826
8   Revolution Sun Studios  76043"
112,"                                                name     id
0                                    France 3 Cinéma    591
1                                   Intermedia Films    763
2                             Pathé Renn Productions    866
3                           Egmond Film & Television   4588
4                                       Warner Bros.   6194
5                                      Pacifica Film  10926
6  IMF Internationale Medien und Film GmbH & Co. ...  19116
7                                 WR Universal Group  54997"
113,"           name    id
0  Warner Bros.  6194
1  Heyday Films  7364"
114,"                             name    id
0  Patalex IV Productions Limited   462
1                    Warner Bros.  6194
2                    Heyday Films  7364"
115,"                      name     id
0        Columbia Pictures      5
1       Weed Road Pictures    433
2             Forward Pass    675
3         Relativity Media   7295
4  Overbrook Entertainment  12485
5               Blue Light  28064
6                 GH Three  41756"
116,"                        name     id
0  Village Roadshow Pictures     79
1              Original Film    333
2         Weed Road Pictures    433
3               Warner Bros.   6194
4               Heyday Films   7364
5    Overbrook Entertainment  12485"
117,"                        name     id
0  Village Roadshow Pictures     79
1         The Zanuck Company     80
2               Warner Bros.   6194
3     Tim Burton Productions   8601
4       Plan B Entertainment  45778
5  Theobald Film Productions  55512"
118,"                      name  id
0     Walt Disney Pictures   2
1  Pixar Animation Studios   3"
119,"                              name     id
0                        DC Comics    429
1               Legendary Pictures    923
2                     Warner Bros.   6194
3                 DC Entertainment   9993
4                          Syncopy   9996
5  Patalex III Productions Limited  19231"
120,"                   name   id
0  DreamWorks Animation  521"
121,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                           1492 Pictures    436
2                      Dune Entertainment    444
3                   21 Laps Entertainment   2575
4               Museum Canada Productions  10224
5            Moving Picture Company (MPC)  20478"
122,"                                     name     id
0                 Ingenious Film Partners    289
1  Twentieth Century Fox Film Corporation    306
2                        Donners' Company    431
3                      Dune Entertainment    444
4                        Seed Productions   9076
5               Bad Hat Harry Productions   9168
6                  Big Screen Productions  10893
7                      Marvel Enterprises  19551"
123,"                        name    id
0  Village Roadshow Pictures    79
1          NPV Entertainment   172
2            Silver Pictures  1885
3               Warner Bros.  6194"
124,"                            name    id
0           Walt Disney Pictures     2
1  Walt Disney Animation Studios  6125"
125,"                             name    id
0       Village Roadshow Pictures    79
1               NPV Entertainment   172
2  Heineken Branded Entertainment   375
3                 Silver Pictures  1885
4                    Warner Bros.  6194"
126,"             name   id
0  Marvel Studios  420"
127,"                         name    id
0   Village Roadshow Pictures    79
1  Kennedy Miller Productions  2537
2                Warner Bros.  6194"
128,"                    name    id
0      Columbia Pictures     5
1  Imagine Entertainment    23
2         Panorama Films  5561
3    Skylark Productions  8253"
129,"             name   id
0  Marvel Studios  420"
130,"                            name    id
0  Walt Disney Animation Studios  6125"
131,"                      name    id
0     Walt Disney Pictures     2
1  Jerry Bruckheimer Films   130
2   Whamaphram Productions  3639"
132,"                          name     id
0           Legendary Pictures    923
1        Thunder Road Pictures   3528
2                 Warner Bros.   6194
3             Cott Productions  24175
4  Furia de Titanes II, A.I.E.  24176"
133,"                        name     id
0  Village Roadshow Pictures     79
1            Infinitum Nihil   2691
2                   GK Films   3281
3               Warner Bros.   6194
4     Tim Burton Productions   8601
5     Dan Curtis Productions   9228
6        Zanuck Company, The  20004"
134,"                     name     id
0      Paramount Pictures      4
1    Skydance Productions   6277
2     China Movie Channel  11413
3               Bad Robot  11461
4          TC Productions  21777
5  Alibaba Pictures Group  69484
6                    Odin  69485"
135,"                 name    id
0  Universal Pictures    33
1  Stuber Productions  4403
2    Relativity Media  7295"
136,"                        name    id
0  Pacific Data Images (PDI)   520
1       DreamWorks Animation   521
2    Columbus 81 Productions  1903"
137,"                   name   id
0  DreamWorks Animation  521"
138,"                             name     id
0              Paramount Pictures      4
1              Nickelodeon Movies   2348
2   Kennedy/Marshall Company, The   7383
3  Industrial Light & Magic (ILM)   8805
4          Blinding Edge Pictures  12236"
139,"                                       name     id
0                        Paramount Pictures      4
1                 Cruise/Wagner Productions     44
2                         Studio Babelsberg    264
3                                 MI 3 Film    658
4      China Film Co-Production Corporation   2269
5       China Film Group Corporation (CFGC)  14714
6  The Fourth Production Company Film Group  22102"
140,"                            name     id
0              Columbia Pictures      5
1      Centropolis Entertainment    347
2  Iron Horse Entertainment (II)  34981
3   Mythology Entertainment (II)  34982"
141,"                            name    id
0  Walt Disney Animation Studios  6125"
142,"                   name   id
0    Aardman Animations  297
1  DreamWorks Animation  521"
143,"                           name     id
0                  Warner Bros.   6194
1  Moving Picture Company (MPC)  20478
2          Berlanti Productions  27711
3     RatPac-Dune Entertainment  41624"
144,"                        name     id
0  Pacific Data Images (PDI)    520
1       DreamWorks Animation    521
2  Classic Media Productions  73951
3         Bullwinkle Studios  73952"
145,"                   name     id
0  Plan B Entertainment     81
1          Warner Bros.   6194
2         Nimar Studios   7636
3   Radiant Productions  18990
4    Helena Productions  19107
5       Latina Pictures  19108"
146,"                   name   id
0  DreamWorks Animation  521"
147,"              name    id
0  Eon Productions  7576"
148,"                             name     id
0               Columbia Pictures      5
1       Village Roadshow Pictures     79
2  Montecito Picture Company, The   4607
3                   LStar Capital  34034
4            Feigco Entertainment  61791
5                 Pascal Pictures  84041
6                      Ghostcorps  84042"
149,"                       name     id
0   Jerry Bruckheimer Films    130
1       Touchstone Pictures   9195
2  Valhalla Motion Pictures  11533"
150,"                            name     id
0              Columbia Pictures      5
1           Amblin Entertainment     56
2  Columbia Pictures Corporation    441
3  Parkes+MacDonald Image Nation  49325"
151,"                       name     id
0        Paramount Pictures      4
1  Shangri-La Entertainment   2265
2               ImageMovers  11395
3       Paramount Animation  24955"
152,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                    DreamWorks Animation    521
2                          China Film Co.  40890
3                     Oriental DreamWorks  76266"
153,"                     name     id
0      Paramount Pictures      4
1    Skydance Productions   6277
2               Bad Robot  11461
3          TC Productions  21777
4  Revolution Sun Studios  76043
5   Kontsept Film Company  76067"
154,"                   name   id
0  DreamWorks Animation  521"
155,"                            name     id
0          Imagine Entertainment     23
1  Columbia Pictures Corporation    441
2            JC 23 Entertainment  76714"
156,"                         name     id
0   Cruise/Wagner Productions     44
1                Warner Bros.   6194
2              Radar Pictures  14718
3  Bedford Falls Company, The  20634"
157,"                     name     id
0  Scott Free Productions   1645
1   Chernin Entertainment   7076
2                 Babieka  20656
3           Volcano Films  52184"
158,"                               name     id
0                Paramount Pictures      4
1            Spyglass Entertainment    158
2                         Bad Robot  11461
3  MavroCine Pictures GmbH & Co. KG  23419"
159,"                 name     id
0   Columbia Pictures      5
1  Marvel Enterprises  19551"
160,"                       name     id
0      DreamWorks Animation    521
1  Mad Hatter Entertainment  20154"
161,"                    name     id
0   Summit Entertainment    491
1   Mystery Clock Cinema    908
2  Thunder Road Pictures   3528
3              TIK Films  72441
4              Pyramania  88715"
162,"                            name     id
0       Laura Ziskin Productions    326
1                  Original Film    333
2  Columbia Pictures Corporation    441
3               Phoenix Pictures  11317
4         AFG Talons Productions  19523"
163,"                          name     id
0           Paramount Pictures      4
1                    DC Comics    429
2  Lawrence Gordon Productions    840
3           Legendary Pictures    923
4                 Warner Bros.   6194
5      Cruel and Unusual Films  78685"
164,"                               name    id
0                   Silver Pictures  1885
1  Donner/Shuler-Donner Productions  5739
2                      Warner Bros.  6194"
165,"                       name     id
0        Universal Pictures     33
1              Good Machine  10565
2  Valhalla Motion Pictures  11533
3        Marvel Enterprises  19551"
166,"                        name     id
0         Paramount Pictures      4
1    Di Bonaventura Pictures    435
2                     Hasbro   2598
3       Skydance Productions   6277
4  Metro-Goldwyn-Mayer (MGM)   8411
5                  Saints LA  19719"
167,"                          name     id
0           Paramount Pictures      4
1      Bristol Bay Productions   2233
2  Baldwin Entertainment Group   2234
3    Desertlands Entertainment   2235
4     Mace Neufeld Productions   2767
5                     Kanzaman   4169
6       J.K. Livin Productions  12124
7                    Moguletta  12125
8           Sahara Productions  12126
9              Babelsberg Film  19481"
168,"                    name     id
0      Columbia Pictures      5
1             Square USA   4164
2  Chris Lee Productions  20033"
169,"             name   id
0  Marvel Studios  420"
170,"                        name    id
0            Eon Productions  7576
1  Metro-Goldwyn-Mayer (MGM)  8411"
171,"                                     name     id
0                      Universal Pictures     33
1  Twentieth Century Fox Film Corporation    306
2                    Samuel Goldwyn Films   9118
3                                 Miramax  53009"
172,"                        name     id
0       Summit Entertainment    491
1     Sunswept Entertainment   5219
2  Temple Hill Entertainment  12292"
173,"                        name     id
0  Village Roadshow Pictures     79
1               Warner Bros.   6194
2               Dr D Studios  28381
3    Kennedy Miller Mitchell  28382"
174,"                         name     id
0          Universal Pictures     33
1              Marvel Studios    420
2    Valhalla Motion Pictures  11533
3  MVL Incredible Productions  25121"
175,"                            name     id
0           Walt Disney Pictures      2
1           Amblin Entertainment     56
2         Reliance Entertainment   7294
3  Kennedy/Marshall Company, The   7383
4                   Walden Media  10221"
176,"                                  name     id
0                  Regency Enterprises    508
1                           Appian Way    562
2                            CatchPlay   8870
3                    Anonymous Content  10039
4                 New Regency Pictures  10104
5  Hong Kong Alpha Motion Pictures Co.  13796
6                 RatPac Entertainment  28732
7                        M Productions  52660
8        Monarchy Enterprises S.a.r.l.  77845"
177,"                   name   id
0  DreamWorks Animation  521"
178,"                  name     id
0   Paramount Pictures      4
1   Nickelodeon Movies   2348
2             GK Films   3281
3           Blind Wink  10262
4  Paramount Animation  24955"
179,"                   name   id
0  DreamWorks Animation  521"
180,"                                          name     id
0                           Universal Pictures     33
1                 The Kennedy/Marshall Company    862
2                         Ludlum Entertainment  11347
3  Motion Picture BETA Produktionsgesellschaft  11348
4                                 Bourne Again  11349"
181,"                   name   id
0  DreamWorks Animation  521"
182,"             name   id
0  Marvel Studios  420"
183,"          name    id
0    Lionsgate  1632
1  Color Force  5420"
184,"                                     name   id
0  Twentieth Century Fox Film Corporation  306
1                    DreamWorks Animation  521"
185,"                        name  id
0         Paramount Pictures   4
1             DreamWorks SKG  27
2  Cruise/Wagner Productions  44
3       Amblin Entertainment  56"
186,"                                  name     id
0        Columbia Pictures Corporation    441
1  Don Simpson/Jerry Bruckheimer Films  10288"
187,"         name  id
0  DreamWorks   7"
188,"                      name     id
0        Columbia Pictures      5
1  Di Bonaventura Pictures    435
2         Relativity Media   7295
3  Wintergreen Productions  11845"
189,"                       name     id
0        Paramount Pictures      4
1       Regency Enterprises    508
2         Protozoa Pictures   7503
3  Disruption Entertainment  10256"
190,"                            name    id
0             Paramount Pictures     4
1              Columbia Pictures     5
2                  WingNut Films    11
3           Amblin Entertainment    56
4             Nickelodeon Movies  2348
5  Kennedy/Marshall Company, The  7383
6       Hemisphere Media Capital  9169"
191,"            name    id
0  1492 Pictures   436
1   Heyday films   437
2   Warner Bros.  6194"
192,"                                     name    id
0                           Bazmark Films   240
1                 Ingenious Film Partners   289
2  Twentieth Century Fox Film Corporation   306
3                  Dune Entertainment III  6332
4                              ScreenWest  7888"
193,"                      name     id
0        Columbia Pictures      5
1   Blinding Edge Pictures  12236
2  Overbrook Entertainment  12485"
194,"                            name     id
0           Walt Disney Pictures      2
1  Walt Disney Feature Animation  10217"
195,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                           1492 Pictures    436
2                   21 Laps Entertainment   2575
3            Moving Picture Company (MPC)  20478
4                       TSG Entertainment  22213"
196,"                   name   id
0  DreamWorks Animation  521"
197,"            name    id
0  1492 Pictures   436
1   Warner Bros.  6194
2   Heyday Films  7364"
198,"                       name   id
0        Universal Pictures   33
1             Original Film  333
2  Dark Horse Entertainment  552"
199,"                      name   id
0     Walt Disney Pictures    2
1  Jerry Bruckheimer Films  130"
200,"          name    id
0    Lionsgate  1632
1  Color Force  5420"
201,"                    name     id
0      Columbia Pictures      5
1  Imagine Entertainment     23
2    Skylark Productions   8253
3    Government of Malta  19927"
202,"                              name     id
0                 Blue Sky Studios   9383
1  Twentieth Century Fox Animation  11749"
203,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                        Donners' Company    431
2               Bad Hat Harry Productions   9168
3                      Marvel Enterprises  19551
4                         XM2 Productions  79026
5                  XF2 Canada Productions  79027"
204,"                   name    id
0    Universal Pictures    33
1         Original Film   333
2  One Race Productions  1225"
205,"                        name     id
0  Village Roadshow Pictures     79
1            Silver Pictures   1885
2               Lin Pictures   2723
3               Warner Bros.   6194
4         Wigram Productions  23202"
206,"                           name     id
0            The Zanuck Company     80
1            Legendary Pictures    923
2         Thunder Road Pictures   3528
3                  Warner Bros.   6194
4  Moving Picture Company (MPC)  20478"
207,"                         name     id
0            TriStar Pictures    559
1            Carolco Pictures  14723
2  Carolco International N.V.  80461"
208,"                  name    id
0  Touchstone Pictures  9195"
209,"                            name     id
0             Universal Pictures     33
1                         Dentsu   6452
2               Relativity Media   7295
3  Kennedy/Marshall Company, The   7383
4        Captivate Entertainment  25716"
210,"                            name    id
0  PolyGram Filmed Entertainment  1382
1                   Warner Bros.  6194"
211,"                    name  id
0  Imagine Entertainment  23
1     Universal Pictures  33"
